PlantID,Genotype,Replicate,ExperimentID,PlantDate,DataDate,TopPlantSurface
200249,R500,2,12,2/4/20,2/24/20,24068
200249,R500,2,12,2/4/20,2/26/20,36490
200249,R500,2,12,2/4/20,2/28/20,55123
200249,R500,2,12,2/4/20,3/2/20,68893
200249,R500,2,12,2/4/20,3/3/20,66789
200249,R500,2,12,2/4/20,3/4/20,72348
200249,R500,2,12,2/4/20,3/5/20,82535
200249,R500,2,12,2/4/20,3/6/20,71492
200249,R500,2,12,2/4/20,3/9/20,78878
200249,R500,2,12,2/4/20,3/10/20,NA
200249,R500,2,12,2/4/20,3/11/20,88334
200249,R500,2,12,2/4/20,3/12/20,85207
200249,R500,2,12,2/4/20,3/13/20,85187
200249,R500,2,12,2/4/20,3/16/20,94170
200249,R500,2,12,2/4/20,3/18/20,87148
200249,R500,2,12,2/4/20,3/20/20,NA
200249,R500,2,12,2/4/20,3/23/20,93942
